,Sales order details,Commodity code_digit
0,1317060100180,0
1,1317060100183,1
2,1317060100183,2
3,1317060100183,2
4,1317060100183,3
5,1317060100183,4
6,1317060100183,5
7,1317060100183,6
8,1317060100183,7
9,1317060100183,8
10,1317060100183,9
11,1317060100183,10
12,1317060100183,11
13,1317060100183,12
14,1317060100183,13
15,1317060100183,14
16,1317060100183,15
17,1317060100183,16
18,1317060100183,17
19,1317060100183,18
20,1317060100183,19
21,1317060100183,20
22,1317060100183,21
23,1317060100183,22
24,1317060100183,23
25,1317060100183,24
26,1317060100183,25
27,1317060100183,26
28,1317060100183,27
29,1317060100183,28
30,1317060100183,29
31,1317060100183,30
32,1317060100183,31
33,1317060100183,32
34,1317060100183,33
35,1317060100183,34
36,1317060100183,35
37,1317060100183,36
38,1317060100203,37
39,1317060100203,38
40,1317060100207,39
41,1317060100209,40
42,1317060100209,18
43,1317060100209,41
44,1317060100209,42
45,1317060100209,42
46,1317060100209,43
47,1317060100209,44
48,1317060100209,45
49,1317060100209,46
50,1317060100219,47
51,1317060100212,48
52,1317060100226,49
53,1317060100229,50
54,1317060100229,51
55,1317060100229,52
56,1317060100229,10
57,1317060100229,47
58,1317060100229,53
59,1317060100229,21
60,1317060100229,54
61,1317060100229,55
62,1317060100229,56
63,1317060100229,57
64,1317060100229,58
65,1317060100229,59
66,1317060100229,25
67,1317060100229,60
68,1317060100229,61
69,1317060100229,62
70,1317060100229,63
71,1317060100229,64
72,1317060100229,65
73,1317060100229,46
74,1317060600067,66
75,1317060600067,67
76,1317060600067,68
77,1317060600068,69
78,1317060600069,70
79,1317060600069,71
80,1317060600069,72
81,1317060600069,73
82,1317060600069,74
83,1317060600069,75
84,1317060600069,76
85,1317060600069,77
86,1317060600069,78
87,1317060600069,79
88,1317060600069,80
89,1317060600070,81
90,1317060600071,82
91,1317060600071,83
92,1317060600071,66
93,1317060600071,84
94,1317060600071,13
95,1317060600071,85
96,1317060600071,86
97,1317060600071,87
98,1317060600071,88
99,1317060600071,89
100,1317060600071,90
101,1317092600150,91
102,1317092600150,92
103,1317092600150,93
104,1317092600150,94
105,1317092600150,95
106,1317092600150,96
107,1317092600150,90
108,1317092600150,97
109,1317092600150,98
110,1317092600150,98
111,1317092600150,99
112,1317092600150,100
113,1317092600160,101
114,1317092600162,102
115,1317092600162,92
116,1317092600162,92
117,1317092600174,103
118,1317092600174,104
119,1317092600174,105
120,1317092600174,106
121,1317092600174,107
122,1317092600174,108
123,1317092600174,52
124,1317092600174,10
125,1317092600174,109
126,1317092600174,21
127,1317092600174,85
128,1317092600174,110
129,1317092600174,111
130,1317092600174,73
131,1317092600174,112
132,1317092600174,95
133,1317092600174,96
134,1317092600174,90
135,1317092600174,113
136,1317092600174,114
137,1317092600174,115
138,1317092600174,116
139,1317092600174,117
140,1317092600174,118
141,1317092600175,119
142,1317092600175,120
143,1317092600175,121
144,1317092600175,122
145,1317092600175,123
146,1317092600175,124
147,1317092600175,125
148,1317092600175,125
149,1317092600175,126
150,1317092600175,127
151,1317092600175,128
152,1317092600175,129
153,1317092600175,130
154,1317092600175,131
155,1317092600175,132
156,1317092600175,133
157,1317092600175,134
158,1317092600175,135
159,1317092600175,136
160,1317092600175,137
161,1317092600175,138
162,1317092600175,139
163,1317092600175,140
164,1317092600175,141
165,1317092600175,142
166,1317092600175,143
167,1317092600175,144
168,1317092600175,145
169,1317092600175,146
170,1317092600175,147
171,1317092600175,148
172,1317092600175,149
173,1317092600175,150
174,1317092900035,151
175,1317092900035,152
176,1317092900035,153
177,1317092900035,154
178,1317092900035,155
179,1317092900035,156
180,1317092900035,157
181,1317092900035,158
182,1317092900035,159
183,1317092900035,160
184,1317092900035,161
185,1317092900035,79
186,1317092900036,162
187,1317092900036,163
188,1317092900037,164
189,1317092900039,165
190,1317092900041,166
191,1317092900042,167
192,1317092900042,168
193,1317092900042,169
194,1317092900042,125
195,1317092900042,126
196,1317092900042,127
197,1317092900042,9
198,1317092900042,170
199,1317092900042,171
200,1317092900042,172
201,1317092900042,172
202,1317092900042,173
203,1317092900042,174
204,1317092900042,175
205,1317092900042,176
206,1317092900042,177
207,1317092900058,4
208,1317092900058,178
209,1317092900058,179
210,1317092900062,180
211,1317092900062,181
212,1317092900062,51
213,1317092900062,10
214,1317092900062,182
215,1317092900062,183
216,1317092900062,47
217,1317092900062,47
218,1317092900062,15
219,1317092900062,184
220,1317092900062,185
221,1317092900062,73
222,1317092900062,186
